slice,mask
10_83.nii.gz,mask_815.nii.gz
10_84.nii.gz,mask_954.nii.gz
10_85.nii.gz,mask_277.nii.gz
10_86.nii.gz,mask_766.nii.gz
10_87.nii.gz,mask_816.nii.gz
10_88.nii.gz,mask_338.nii.gz
10_89.nii.gz,mask_308.nii.gz
10_90.nii.gz,mask_547.nii.gz
10_91.nii.gz,mask_663.nii.gz
10_92.nii.gz,mask_308.nii.gz
10_93.nii.gz,mask_723.nii.gz
10_94.nii.gz,mask_732.nii.gz
10_95.nii.gz,mask_461.nii.gz
10_96.nii.gz,mask_350.nii.gz
10_97.nii.gz,mask_755.nii.gz
10_98.nii.gz,mask_668.nii.gz
10_99.nii.gz,mask_959.nii.gz
10_100.nii.gz,mask_188.nii.gz
10_101.nii.gz,mask_945.nii.gz
10_102.nii.gz,mask_759.nii.gz
10_103.nii.gz,mask_574.nii.gz
10_104.nii.gz,mask_543.nii.gz
10_105.nii.gz,mask_735.nii.gz
10_106.nii.gz,mask_397.nii.gz
10_107.nii.gz,mask_605.nii.gz
10_108.nii.gz,mask_199.nii.gz
10_109.nii.gz,mask_519.nii.gz
10_110.nii.gz,mask_224.nii.gz
10_111.nii.gz,mask_842.nii.gz
10_112.nii.gz,mask_806.nii.gz
10_113.nii.gz,mask_50.nii.gz
10_114.nii.gz,mask_262.nii.gz
10_115.nii.gz,mask_480.nii.gz
10_116.nii.gz,mask_763.nii.gz
10_117.nii.gz,mask_8.nii.gz
10_118.nii.gz,mask_623.nii.gz
10_119.nii.gz,mask_987.nii.gz
10_120.nii.gz,mask_517.nii.gz
10_121.nii.gz,mask_120.nii.gz
10_122.nii.gz,mask_138.nii.gz
10_123.nii.gz,mask_464.nii.gz
10_124.nii.gz,mask_841.nii.gz
10_125.nii.gz,mask_709.nii.gz
10_126.nii.gz,mask_379.nii.gz
10_127.nii.gz,mask_207.nii.gz
10_128.nii.gz,mask_445.nii.gz
10_129.nii.gz,mask_216.nii.gz
10_130.nii.gz,mask_263.nii.gz
10_131.nii.gz,mask_732.nii.gz
10_132.nii.gz,mask_678.nii.gz
10_133.nii.gz,mask_525.nii.gz
10_134.nii.gz,mask_3.nii.gz
10_135.nii.gz,mask_725.nii.gz
10_136.nii.gz,mask_233.nii.gz
10_137.nii.gz,mask_509.nii.gz
10_138.nii.gz,mask_120.nii.gz
10_139.nii.gz,mask_362.nii.gz
10_140.nii.gz,mask_183.nii.gz
10_141.nii.gz,mask_695.nii.gz
10_142.nii.gz,mask_779.nii.gz
10_143.nii.gz,mask_694.nii.gz
10_144.nii.gz,mask_359.nii.gz
10_145.nii.gz,mask_502.nii.gz
10_146.nii.gz,mask_433.nii.gz
10_147.nii.gz,mask_450.nii.gz
10_148.nii.gz,mask_765.nii.gz
10_149.nii.gz,mask_588.nii.gz
10_150.nii.gz,mask_193.nii.gz
10_151.nii.gz,mask_976.nii.gz
10_152.nii.gz,mask_925.nii.gz
10_153.nii.gz,mask_840.nii.gz
10_154.nii.gz,mask_701.nii.gz
10_155.nii.gz,mask_340.nii.gz
10_156.nii.gz,mask_481.nii.gz
10_157.nii.gz,mask_883.nii.gz
10_158.nii.gz,mask_912.nii.gz
10_159.nii.gz,mask_534.nii.gz
10_160.nii.gz,mask_304.nii.gz
10_161.nii.gz,mask_702.nii.gz
10_162.nii.gz,mask_402.nii.gz
10_163.nii.gz,mask_595.nii.gz
10_164.nii.gz,mask_691.nii.gz
10_165.nii.gz,mask_106.nii.gz
10_166.nii.gz,mask_242.nii.gz
10_167.nii.gz,mask_681.nii.gz
10_168.nii.gz,mask_282.nii.gz
10_169.nii.gz,mask_203.nii.gz
10_170.nii.gz,mask_217.nii.gz
10_171.nii.gz,mask_602.nii.gz
10_172.nii.gz,mask_822.nii.gz
10_173.nii.gz,mask_856.nii.gz
10_174.nii.gz,mask_59.nii.gz
10_175.nii.gz,mask_49.nii.gz
10_176.nii.gz,mask_524.nii.gz
10_177.nii.gz,mask_942.nii.gz
10_178.nii.gz,mask_560.nii.gz
10_179.nii.gz,mask_895.nii.gz
10_180.nii.gz,mask_181.nii.gz
10_181.nii.gz,mask_266.nii.gz
10_182.nii.gz,mask_467.nii.gz
10_183.nii.gz,mask_542.nii.gz
10_184.nii.gz,mask_147.nii.gz
10_185.nii.gz,mask_580.nii.gz
10_186.nii.gz,mask_886.nii.gz
10_187.nii.gz,mask_730.nii.gz
10_188.nii.gz,mask_71.nii.gz
10_189.nii.gz,mask_656.nii.gz
10_190.nii.gz,mask_499.nii.gz
10_191.nii.gz,mask_238.nii.gz
10_192.nii.gz,mask_240.nii.gz
10_193.nii.gz,mask_148.nii.gz
10_194.nii.gz,mask_190.nii.gz
10_195.nii.gz,mask_348.nii.gz
10_196.nii.gz,mask_895.nii.gz
10_197.nii.gz,mask_936.nii.gz
10_198.nii.gz,mask_819.nii.gz
10_199.nii.gz,mask_101.nii.gz
10_200.nii.gz,mask_904.nii.gz
10_201.nii.gz,mask_804.nii.gz
10_202.nii.gz,mask_446.nii.gz
10_203.nii.gz,mask_953.nii.gz
10_204.nii.gz,mask_312.nii.gz
10_205.nii.gz,mask_423.nii.gz
10_206.nii.gz,mask_244.nii.gz
10_207.nii.gz,mask_840.nii.gz
10_208.nii.gz,mask_269.nii.gz
10_209.nii.gz,mask_371.nii.gz
10_210.nii.gz,mask_536.nii.gz
10_211.nii.gz,mask_974.nii.gz
10_212.nii.gz,mask_566.nii.gz
10_213.nii.gz,mask_646.nii.gz
10_214.nii.gz,mask_83.nii.gz
10_215.nii.gz,mask_202.nii.gz
10_216.nii.gz,mask_219.nii.gz
10_217.nii.gz,mask_813.nii.gz
10_218.nii.gz,mask_411.nii.gz
10_219.nii.gz,mask_772.nii.gz
10_220.nii.gz,mask_282.nii.gz
10_221.nii.gz,mask_229.nii.gz
10_222.nii.gz,mask_692.nii.gz
10_223.nii.gz,mask_955.nii.gz
10_224.nii.gz,mask_822.nii.gz
10_225.nii.gz,mask_872.nii.gz
10_226.nii.gz,mask_489.nii.gz
10_227.nii.gz,mask_665.nii.gz
10_228.nii.gz,mask_607.nii.gz
10_229.nii.gz,mask_853.nii.gz
10_230.nii.gz,mask_731.nii.gz
10_231.nii.gz,mask_595.nii.gz
10_232.nii.gz,mask_596.nii.gz
10_233.nii.gz,mask_776.nii.gz
10_234.nii.gz,mask_490.nii.gz
10_235.nii.gz,mask_589.nii.gz
10_236.nii.gz,mask_137.nii.gz
10_237.nii.gz,mask_934.nii.gz
10_238.nii.gz,mask_104.nii.gz
10_239.nii.gz,mask_390.nii.gz
10_240.nii.gz,mask_449.nii.gz
10_241.nii.gz,mask_403.nii.gz
10_242.nii.gz,mask_176.nii.gz
10_243.nii.gz,mask_612.nii.gz
10_244.nii.gz,mask_822.nii.gz
10_245.nii.gz,mask_710.nii.gz
10_246.nii.gz,mask_247.nii.gz
10_247.nii.gz,mask_107.nii.gz
10_248.nii.gz,mask_784.nii.gz
10_249.nii.gz,mask_57.nii.gz
10_250.nii.gz,mask_866.nii.gz
10_251.nii.gz,mask_764.nii.gz
10_252.nii.gz,mask_997.nii.gz
10_253.nii.gz,mask_102.nii.gz
10_254.nii.gz,mask_934.nii.gz
10_255.nii.gz,mask_821.nii.gz
10_256.nii.gz,mask_339.nii.gz
10_257.nii.gz,mask_363.nii.gz
10_258.nii.gz,mask_160.nii.gz
10_259.nii.gz,mask_488.nii.gz
10_260.nii.gz,mask_378.nii.gz
10_261.nii.gz,mask_385.nii.gz
10_262.nii.gz,mask_280.nii.gz
10_263.nii.gz,mask_284.nii.gz
10_264.nii.gz,mask_186.nii.gz
10_265.nii.gz,mask_757.nii.gz
10_266.nii.gz,mask_319.nii.gz
10_267.nii.gz,mask_17.nii.gz
10_268.nii.gz,mask_832.nii.gz
10_269.nii.gz,mask_160.nii.gz
10_270.nii.gz,mask_332.nii.gz
10_271.nii.gz,mask_559.nii.gz
10_272.nii.gz,mask_743.nii.gz
10_273.nii.gz,mask_246.nii.gz
10_274.nii.gz,mask_616.nii.gz
10_275.nii.gz,mask_769.nii.gz
10_276.nii.gz,mask_429.nii.gz
10_277.nii.gz,mask_888.nii.gz
10_278.nii.gz,mask_783.nii.gz
10_279.nii.gz,mask_916.nii.gz
10_280.nii.gz,mask_298.nii.gz
10_281.nii.gz,mask_881.nii.gz
10_282.nii.gz,mask_843.nii.gz
10_283.nii.gz,mask_405.nii.gz
10_284.nii.gz,mask_719.nii.gz
10_285.nii.gz,mask_769.nii.gz
10_286.nii.gz,mask_312.nii.gz
10_287.nii.gz,mask_722.nii.gz
10_288.nii.gz,mask_775.nii.gz
10_289.nii.gz,mask_850.nii.gz
10_290.nii.gz,mask_515.nii.gz
10_291.nii.gz,mask_385.nii.gz
10_292.nii.gz,mask_92.nii.gz
10_293.nii.gz,mask_886.nii.gz
10_294.nii.gz,mask_841.nii.gz
10_295.nii.gz,mask_923.nii.gz
10_296.nii.gz,mask_544.nii.gz
10_297.nii.gz,mask_57.nii.gz
10_298.nii.gz,mask_717.nii.gz
10_299.nii.gz,mask_861.nii.gz
10_300.nii.gz,mask_957.nii.gz
10_301.nii.gz,mask_379.nii.gz
10_302.nii.gz,mask_66.nii.gz
10_303.nii.gz,mask_953.nii.gz
10_304.nii.gz,mask_838.nii.gz
10_305.nii.gz,mask_562.nii.gz
10_306.nii.gz,mask_962.nii.gz
10_307.nii.gz,mask_624.nii.gz
10_308.nii.gz,mask_203.nii.gz
10_309.nii.gz,mask_925.nii.gz
10_310.nii.gz,mask_736.nii.gz
10_311.nii.gz,mask_728.nii.gz
10_312.nii.gz,mask_218.nii.gz
10_313.nii.gz,mask_809.nii.gz
10_314.nii.gz,mask_71.nii.gz
10_315.nii.gz,mask_887.nii.gz
10_316.nii.gz,mask_130.nii.gz
10_317.nii.gz,mask_755.nii.gz
10_318.nii.gz,mask_967.nii.gz
10_319.nii.gz,mask_554.nii.gz
10_320.nii.gz,mask_934.nii.gz
10_321.nii.gz,mask_797.nii.gz
10_322.nii.gz,mask_537.nii.gz
10_323.nii.gz,mask_504.nii.gz
10_324.nii.gz,mask_23.nii.gz
10_325.nii.gz,mask_920.nii.gz
10_326.nii.gz,mask_611.nii.gz
10_327.nii.gz,mask_457.nii.gz
10_328.nii.gz,mask_310.nii.gz
10_329.nii.gz,mask_12.nii.gz
10_330.nii.gz,mask_423.nii.gz
10_331.nii.gz,mask_542.nii.gz
10_332.nii.gz,mask_903.nii.gz
10_333.nii.gz,mask_521.nii.gz
10_334.nii.gz,mask_103.nii.gz
10_335.nii.gz,mask_772.nii.gz
10_336.nii.gz,mask_933.nii.gz
10_337.nii.gz,mask_752.nii.gz
10_338.nii.gz,mask_412.nii.gz
10_339.nii.gz,mask_641.nii.gz
10_340.nii.gz,mask_442.nii.gz
10_341.nii.gz,mask_63.nii.gz
10_342.nii.gz,mask_464.nii.gz
10_343.nii.gz,mask_161.nii.gz
10_344.nii.gz,mask_939.nii.gz
10_345.nii.gz,mask_739.nii.gz
10_346.nii.gz,mask_798.nii.gz
10_347.nii.gz,mask_318.nii.gz
10_348.nii.gz,mask_385.nii.gz
10_349.nii.gz,mask_730.nii.gz
10_350.nii.gz,mask_610.nii.gz
10_351.nii.gz,mask_707.nii.gz
10_352.nii.gz,mask_972.nii.gz
10_353.nii.gz,mask_679.nii.gz
10_354.nii.gz,mask_363.nii.gz
10_355.nii.gz,mask_268.nii.gz
10_356.nii.gz,mask_842.nii.gz
10_357.nii.gz,mask_392.nii.gz
10_358.nii.gz,mask_545.nii.gz
10_359.nii.gz,mask_953.nii.gz
10_360.nii.gz,mask_371.nii.gz
10_361.nii.gz,mask_525.nii.gz
10_362.nii.gz,mask_643.nii.gz
10_363.nii.gz,mask_223.nii.gz
10_364.nii.gz,mask_165.nii.gz
10_365.nii.gz,mask_54.nii.gz
10_366.nii.gz,mask_568.nii.gz
10_367.nii.gz,mask_924.nii.gz
10_368.nii.gz,mask_700.nii.gz
10_369.nii.gz,mask_790.nii.gz
10_370.nii.gz,mask_381.nii.gz
10_371.nii.gz,mask_279.nii.gz
10_372.nii.gz,mask_473.nii.gz
10_373.nii.gz,mask_607.nii.gz
10_374.nii.gz,mask_771.nii.gz
10_375.nii.gz,mask_288.nii.gz
10_376.nii.gz,mask_144.nii.gz
10_377.nii.gz,mask_869.nii.gz
10_378.nii.gz,mask_760.nii.gz
10_379.nii.gz,mask_73.nii.gz
10_380.nii.gz,mask_730.nii.gz
10_381.nii.gz,mask_646.nii.gz
10_382.nii.gz,mask_549.nii.gz
10_383.nii.gz,mask_572.nii.gz
10_384.nii.gz,mask_66.nii.gz
10_385.nii.gz,mask_831.nii.gz
10_386.nii.gz,mask_141.nii.gz
10_387.nii.gz,mask_211.nii.gz
10_388.nii.gz,mask_442.nii.gz
10_389.nii.gz,mask_756.nii.gz
10_390.nii.gz,mask_695.nii.gz
10_391.nii.gz,mask_383.nii.gz
10_392.nii.gz,mask_534.nii.gz
10_393.nii.gz,mask_37.nii.gz
10_394.nii.gz,mask_669.nii.gz
10_395.nii.gz,mask_641.nii.gz
10_396.nii.gz,mask_848.nii.gz
10_397.nii.gz,mask_517.nii.gz
10_398.nii.gz,mask_488.nii.gz
10_399.nii.gz,mask_980.nii.gz
10_400.nii.gz,mask_820.nii.gz
10_401.nii.gz,mask_237.nii.gz
10_402.nii.gz,mask_934.nii.gz
10_403.nii.gz,mask_341.nii.gz
10_404.nii.gz,mask_67.nii.gz
10_405.nii.gz,mask_467.nii.gz
10_406.nii.gz,mask_627.nii.gz
10_407.nii.gz,mask_667.nii.gz
10_408.nii.gz,mask_393.nii.gz
10_409.nii.gz,mask_876.nii.gz
10_410.nii.gz,mask_189.nii.gz
10_411.nii.gz,mask_792.nii.gz
10_412.nii.gz,mask_723.nii.gz
10_413.nii.gz,mask_406.nii.gz
10_414.nii.gz,mask_670.nii.gz
10_415.nii.gz,mask_838.nii.gz
10_416.nii.gz,mask_538.nii.gz
10_417.nii.gz,mask_572.nii.gz
10_418.nii.gz,mask_948.nii.gz
10_419.nii.gz,mask_304.nii.gz
10_420.nii.gz,mask_136.nii.gz
10_421.nii.gz,mask_997.nii.gz
10_422.nii.gz,mask_66.nii.gz
10_423.nii.gz,mask_885.nii.gz
10_424.nii.gz,mask_415.nii.gz
10_425.nii.gz,mask_201.nii.gz
10_426.nii.gz,mask_470.nii.gz
10_427.nii.gz,mask_255.nii.gz
10_428.nii.gz,mask_341.nii.gz
10_429.nii.gz,mask_361.nii.gz
10_430.nii.gz,mask_688.nii.gz
10_431.nii.gz,mask_972.nii.gz
10_432.nii.gz,mask_262.nii.gz
10_433.nii.gz,mask_526.nii.gz
10_434.nii.gz,mask_857.nii.gz
10_435.nii.gz,mask_555.nii.gz
10_436.nii.gz,mask_978.nii.gz
10_437.nii.gz,mask_910.nii.gz
10_438.nii.gz,mask_583.nii.gz
10_439.nii.gz,mask_420.nii.gz
10_440.nii.gz,mask_735.nii.gz
10_441.nii.gz,mask_977.nii.gz
10_442.nii.gz,mask_11.nii.gz
10_443.nii.gz,mask_605.nii.gz
10_444.nii.gz,mask_966.nii.gz
10_445.nii.gz,mask_739.nii.gz
10_446.nii.gz,mask_944.nii.gz
10_447.nii.gz,mask_70.nii.gz
10_448.nii.gz,mask_237.nii.gz
10_449.nii.gz,mask_710.nii.gz
10_450.nii.gz,mask_611.nii.gz
10_451.nii.gz,mask_467.nii.gz
10_452.nii.gz,mask_610.nii.gz
10_453.nii.gz,mask_485.nii.gz
10_454.nii.gz,mask_755.nii.gz
10_455.nii.gz,mask_740.nii.gz
10_456.nii.gz,mask_743.nii.gz
10_457.nii.gz,mask_772.nii.gz
10_458.nii.gz,mask_132.nii.gz
10_459.nii.gz,mask_39.nii.gz
10_460.nii.gz,mask_95.nii.gz
10_461.nii.gz,mask_465.nii.gz
10_462.nii.gz,mask_674.nii.gz
10_463.nii.gz,mask_847.nii.gz
10_464.nii.gz,mask_533.nii.gz
10_465.nii.gz,mask_906.nii.gz
10_466.nii.gz,mask_38.nii.gz
10_467.nii.gz,mask_298.nii.gz
10_468.nii.gz,mask_926.nii.gz
10_469.nii.gz,mask_617.nii.gz
10_470.nii.gz,mask_635.nii.gz
10_471.nii.gz,mask_949.nii.gz
10_472.nii.gz,mask_768.nii.gz
10_473.nii.gz,mask_592.nii.gz
10_474.nii.gz,mask_323.nii.gz
10_475.nii.gz,mask_725.nii.gz
10_476.nii.gz,mask_230.nii.gz
10_477.nii.gz,mask_445.nii.gz
10_478.nii.gz,mask_370.nii.gz
10_479.nii.gz,mask_240.nii.gz
10_480.nii.gz,mask_478.nii.gz
10_481.nii.gz,mask_340.nii.gz
10_482.nii.gz,mask_482.nii.gz
10_483.nii.gz,mask_388.nii.gz
10_484.nii.gz,mask_525.nii.gz
10_485.nii.gz,mask_809.nii.gz
10_486.nii.gz,mask_590.nii.gz
10_487.nii.gz,mask_529.nii.gz
10_488.nii.gz,mask_369.nii.gz
10_489.nii.gz,mask_758.nii.gz
10_490.nii.gz,mask_599.nii.gz
10_491.nii.gz,mask_585.nii.gz
10_492.nii.gz,mask_755.nii.gz
10_493.nii.gz,mask_827.nii.gz
10_494.nii.gz,mask_899.nii.gz
10_495.nii.gz,mask_264.nii.gz
10_496.nii.gz,mask_467.nii.gz
10_497.nii.gz,mask_57.nii.gz
10_498.nii.gz,mask_15.nii.gz
10_499.nii.gz,mask_889.nii.gz
10_500.nii.gz,mask_312.nii.gz
10_501.nii.gz,mask_554.nii.gz
10_502.nii.gz,mask_190.nii.gz
10_503.nii.gz,mask_685.nii.gz
10_504.nii.gz,mask_440.nii.gz
10_505.nii.gz,mask_730.nii.gz
10_506.nii.gz,mask_927.nii.gz
10_507.nii.gz,mask_826.nii.gz
10_508.nii.gz,mask_850.nii.gz
10_509.nii.gz,mask_538.nii.gz
10_510.nii.gz,mask_79.nii.gz
10_511.nii.gz,mask_416.nii.gz
10_512.nii.gz,mask_435.nii.gz
10_513.nii.gz,mask_677.nii.gz
10_514.nii.gz,mask_307.nii.gz
10_515.nii.gz,mask_312.nii.gz
10_516.nii.gz,mask_569.nii.gz
10_517.nii.gz,mask_392.nii.gz
10_518.nii.gz,mask_140.nii.gz
10_519.nii.gz,mask_214.nii.gz
10_520.nii.gz,mask_293.nii.gz
10_521.nii.gz,mask_472.nii.gz
10_522.nii.gz,mask_887.nii.gz
10_523.nii.gz,mask_108.nii.gz
10_524.nii.gz,mask_924.nii.gz
10_525.nii.gz,mask_815.nii.gz
10_526.nii.gz,mask_415.nii.gz
10_527.nii.gz,mask_452.nii.gz
10_528.nii.gz,mask_101.nii.gz
10_529.nii.gz,mask_518.nii.gz
10_530.nii.gz,mask_453.nii.gz
10_531.nii.gz,mask_296.nii.gz
10_532.nii.gz,mask_418.nii.gz
10_533.nii.gz,mask_708.nii.gz
10_534.nii.gz,mask_5.nii.gz
10_535.nii.gz,mask_957.nii.gz
10_536.nii.gz,mask_627.nii.gz
10_537.nii.gz,mask_564.nii.gz
10_538.nii.gz,mask_95.nii.gz
10_539.nii.gz,mask_834.nii.gz
10_540.nii.gz,mask_934.nii.gz
10_541.nii.gz,mask_660.nii.gz
10_542.nii.gz,mask_549.nii.gz
10_543.nii.gz,mask_998.nii.gz
10_544.nii.gz,mask_598.nii.gz
10_545.nii.gz,mask_261.nii.gz
10_546.nii.gz,mask_574.nii.gz
10_547.nii.gz,mask_727.nii.gz
10_548.nii.gz,mask_583.nii.gz
10_549.nii.gz,mask_245.nii.gz
10_550.nii.gz,mask_535.nii.gz
10_551.nii.gz,mask_940.nii.gz
10_552.nii.gz,mask_582.nii.gz
10_553.nii.gz,mask_35.nii.gz
10_554.nii.gz,mask_951.nii.gz
10_555.nii.gz,mask_185.nii.gz
10_556.nii.gz,mask_408.nii.gz
10_557.nii.gz,mask_529.nii.gz
10_558.nii.gz,mask_932.nii.gz
10_559.nii.gz,mask_220.nii.gz
10_560.nii.gz,mask_812.nii.gz
10_561.nii.gz,mask_10.nii.gz
10_562.nii.gz,mask_611.nii.gz
10_563.nii.gz,mask_526.nii.gz
10_564.nii.gz,mask_102.nii.gz
10_565.nii.gz,mask_27.nii.gz
10_566.nii.gz,mask_474.nii.gz
10_567.nii.gz,mask_65.nii.gz
10_568.nii.gz,mask_64.nii.gz
10_569.nii.gz,mask_218.nii.gz
10_570.nii.gz,mask_342.nii.gz
10_571.nii.gz,mask_456.nii.gz
10_572.nii.gz,mask_757.nii.gz
10_573.nii.gz,mask_848.nii.gz
10_574.nii.gz,mask_164.nii.gz
10_575.nii.gz,mask_235.nii.gz
10_576.nii.gz,mask_124.nii.gz
10_577.nii.gz,mask_562.nii.gz
10_578.nii.gz,mask_249.nii.gz
10_579.nii.gz,mask_802.nii.gz
10_580.nii.gz,mask_995.nii.gz
10_581.nii.gz,mask_773.nii.gz
10_582.nii.gz,mask_107.nii.gz
10_583.nii.gz,mask_861.nii.gz
10_584.nii.gz,mask_142.nii.gz
10_585.nii.gz,mask_667.nii.gz
10_586.nii.gz,mask_684.nii.gz
10_587.nii.gz,mask_448.nii.gz
10_588.nii.gz,mask_245.nii.gz
10_589.nii.gz,mask_583.nii.gz
10_590.nii.gz,mask_836.nii.gz
10_591.nii.gz,mask_219.nii.gz
10_592.nii.gz,mask_373.nii.gz
10_593.nii.gz,mask_755.nii.gz
10_594.nii.gz,mask_534.nii.gz
10_595.nii.gz,mask_700.nii.gz
10_596.nii.gz,mask_508.nii.gz
10_597.nii.gz,mask_655.nii.gz
10_598.nii.gz,mask_777.nii.gz
10_599.nii.gz,mask_808.nii.gz
10_600.nii.gz,mask_703.nii.gz
10_601.nii.gz,mask_997.nii.gz
10_602.nii.gz,mask_234.nii.gz
10_603.nii.gz,mask_956.nii.gz
10_604.nii.gz,mask_547.nii.gz
10_605.nii.gz,mask_511.nii.gz
10_606.nii.gz,mask_330.nii.gz
10_607.nii.gz,mask_698.nii.gz
10_608.nii.gz,mask_653.nii.gz
10_609.nii.gz,mask_852.nii.gz
10_610.nii.gz,mask_266.nii.gz
10_611.nii.gz,mask_970.nii.gz
10_612.nii.gz,mask_682.nii.gz
10_613.nii.gz,mask_257.nii.gz
10_614.nii.gz,mask_128.nii.gz
10_615.nii.gz,mask_496.nii.gz
10_616.nii.gz,mask_712.nii.gz
10_617.nii.gz,mask_483.nii.gz
10_618.nii.gz,mask_674.nii.gz
10_619.nii.gz,mask_462.nii.gz
10_620.nii.gz,mask_981.nii.gz
10_621.nii.gz,mask_238.nii.gz
10_622.nii.gz,mask_676.nii.gz
10_623.nii.gz,mask_833.nii.gz
10_624.nii.gz,mask_752.nii.gz
10_625.nii.gz,mask_130.nii.gz
10_626.nii.gz,mask_403.nii.gz
10_627.nii.gz,mask_80.nii.gz
10_628.nii.gz,mask_308.nii.gz
10_629.nii.gz,mask_651.nii.gz
10_630.nii.gz,mask_843.nii.gz
10_631.nii.gz,mask_516.nii.gz
10_632.nii.gz,mask_769.nii.gz
10_633.nii.gz,mask_37.nii.gz
10_634.nii.gz,mask_71.nii.gz
10_635.nii.gz,mask_209.nii.gz
10_636.nii.gz,mask_949.nii.gz
10_637.nii.gz,mask_607.nii.gz
10_638.nii.gz,mask_298.nii.gz
10_639.nii.gz,mask_454.nii.gz
10_640.nii.gz,mask_535.nii.gz
10_641.nii.gz,mask_197.nii.gz
10_642.nii.gz,mask_721.nii.gz
10_643.nii.gz,mask_842.nii.gz
10_644.nii.gz,mask_185.nii.gz
10_645.nii.gz,mask_260.nii.gz
10_646.nii.gz,mask_327.nii.gz
10_647.nii.gz,mask_884.nii.gz
10_648.nii.gz,mask_964.nii.gz
10_649.nii.gz,mask_374.nii.gz
10_650.nii.gz,mask_67.nii.gz
10_651.nii.gz,mask_682.nii.gz
10_652.nii.gz,mask_48.nii.gz
10_653.nii.gz,mask_94.nii.gz
10_654.nii.gz,mask_179.nii.gz
10_655.nii.gz,mask_325.nii.gz
10_656.nii.gz,mask_724.nii.gz
10_657.nii.gz,mask_954.nii.gz
10_658.nii.gz,mask_76.nii.gz
10_659.nii.gz,mask_167.nii.gz
10_660.nii.gz,mask_406.nii.gz
10_661.nii.gz,mask_489.nii.gz
10_662.nii.gz,mask_580.nii.gz
10_663.nii.gz,mask_277.nii.gz
10_664.nii.gz,mask_711.nii.gz
10_665.nii.gz,mask_473.nii.gz
